itching,Have you experienced persistent and unexplained itching on your skin?,"Does your skin feel irritated and scratchy, leading you to scratch it frequently?",Are you currently experiencing abdominal pain or discomfort?
skin_rash,Do you have any abnormal and noticeable changes in the texture or color of your skin?,"Have you noticed the presence of redness, bumps, or blotches on your skin that were not there before?",Have you recently been in contact with any new substances or allergens that could explain the skin rash?
nodal_skin_eruptions,"Have you developed raised, tender, or swollen areas on your skin?",Do you have any unusual or painful lumps or nodules on your skin?,"Are the skin eruptions painful to the touch, or do they cause any discomfort?"
"continuous_sneezing
","Are you experiencing frequent, uncontrollable sneezing fits?",Do you find yourself sneezing repeatedly throughout the day without an obvious cause?,"Have you experienced any other symptoms alongside continuous sneezing, such as a runny or stuffy nose?"
shivering,Are you shivering or trembling even though you are not in a cold environment?,"Do you experience sudden, uncontrollable bouts of shivering or shaking?",Have you been exposed to extremely cold temperatures or experienced any fever alongside shivering?
chills,"Have you had episodes of feeling very cold, accompanied by shivering or teeth chattering?","Do you feel cold and experience a sensation of ""chills"" even when the room temperature is comfortable?",Have you had recent exposure to cold weather or wet conditions that might explain the chills?
joint_pain,"Are you experiencing pain or discomfort in your joints, such as knees, elbows, or wrists?",Have you noticed any stiffness or swelling in your joints?,Is the joint pain accompanied by any swelling or redness in the affected joints?
stomach_pain,Are you currently experiencing abdominal pain or discomfort?,Have you had episodes of sharp or cramp-like pain in your stomach area?,"Can you describe the location and type of stomach pain you're experiencing, such as cramping or aching?"
acidity,"Do you frequently experience a burning sensation in your chest or upper abdomen, often after eating?",Have you noticed an increase in stomach acid-related symptoms like heartburn or indigestion?,"Does the acidity or heartburn worsen after consuming certain foods or beverages, like spicy or acidic items?"
ulcers_on_tongue,Do you have painful sores or lesions on your tongue?,Have you noticed any white or red patches or open wounds on your tongue's surface?,Have you recently bitten your tongue or had any dental work done that might explain the ulcers?
muscle_wasting,Have you noticed a significant and unexplained loss of muscle mass or strength in your body?,Are your muscles visibly shrinking or weakening?,Is there a noticeable decrease in your ability to perform physical activities due to muscle weakness?
vomiting,Have you experienced repeated episodes of forcefully expelling the contents of your stomach through your mouth?,Are you having nausea and an urge to vomit frequently?,Have you vomited more than once in the past 24 hours?
burning_micturition,Do you experience a burning or painful sensation while urinating?,Is there a stinging or discomforting feeling during urination?,Have you noticed any blood or unusual discharge when you urinate?
spotting_ urination,"Do you see small amounts of blood or pinkish spots when you urinate?

",Have you noticed any unusual discoloration in your urine?,Is there a recurring issue of spotting during urination?
fatigue,"Are you feeling extremely tired or worn out, even after getting adequate rest?",Do you lack energy and motivation for daily activities?,Is your fatigue persistent and not relieved by rest?
weight_gain,Have you experienced a noticeable and unexplained increase in your body weight?,Is your weight steadily increasing despite no significant changes in your diet or physical activity?,Have you gained more than 5 pounds in the past month without an obvious reason?
anxiety,"Do you frequently experience excessive worry, restlessness, or nervousness?",Are you often on edge or feeling tense without an apparent cause?,Have you had sudden or severe anxiety attacks?
cold_hands_and_feets,"Do your hands and feet often feel unusually cold, even in warm environments?",Are your extremities frequently cold and numb?,Do you experience color changes in your fingers or toes in response to cold or stress?
mood_swings,Do you find that your emotions and moods change rapidly and unpredictably?,"Have you noticed significant shifts in your emotional state, from highs to lows, without an apparent reason?",Are your mood swings affecting your daily life and relationships?
weight_loss,Have you experienced a noticeable and unexplained decrease in your body weight?,Is your weight steadily decreasing without intentional changes to your diet or physical activity?,Have you lost more than 5 pounds in the past month without an obvious cause?
restlessness,Are you feeling constantly agitated or unable to relax?,Do you have an urge to move around or engage in activities constantly?,Is your restlessness interfering with your ability to concentrate or sit still?
lethargy,"Do you feel excessively tired and lacking in energy, making it difficult to carry out daily tasks?",Are you experiencing a persistent sense of laziness and sluggishness?,Does your lethargy persist despite getting adequate sleep?
patches_in_throat,Do you have visible white or red patches or unusual growths in your throat?,"Have you experienced discomfort, pain, or difficulty swallowing associated with these patches?",Are the patches in your throat getting worse or not improving over time?
irregular_sugar_level,Have you had irregular blood sugar levels as per your recent medical tests?,"Do you frequently experience symptoms of high or low blood sugar, such as thirst, frequent urination, or dizziness?","Are you currently managing a diagnosed blood sugar condition, such as diabetes?"
cough,Are you experiencing a persistent cough that has lasted for more than two weeks?,Does your cough produce mucus or phlegm?,Have you had a cough accompanied by other symptoms like fever or shortness of breath?
high_fever,Have you had a fever with a high temeprature in the past 24 hours?,Is your fever associated with other symptoms like chills or body aches?,Have you had a high fever for several days in a row?
sunken_eyes,Do your eyes appear noticeably sunken or hollowed out?,Are there deep shadows or dark circles under your eyes that are unusual for you?,Have you experienced a loss of fullness or puffiness around your eyes?
breathlessness,"Are you experiencing difficulty breathing, even at rest or during light physical activity?",Do you feel a persistent shortness of breath or a tightness in your chest?,Have you had episodes of breathlessness that are sudden and severe?
sweating,"Are you experiencing excessive sweating, even when you're not engaged in physical activity or in a hot environment","Is the sweating more pronounced at night, waking you up with damp or wet clothing or bedding?",Have you noticed a sudden and unexplained increase in the amount of sweat you produce during daily activities?
dehydration,Have you been experiencing increased thirst and a persistent feeling of dry mouth?,"Do you have reduced urine output, or is your urine noticeably darker than usual?",Have you noticed signs of dehydration such as dry skin or sunken eyes?
indigestion,"Are you experiencing discomfort or pain in your upper abdomen, often occurring after meals?",Do you frequently feel bloated or excessively full after eating?,Have you been burping or experiencing acid reflux more than usual?
headache,Do you have a persistent and throbbing headache that doesn't seem to go away?,Is the headache accompanied by sensitivity to light or sound?,Have you experienced nausea or vomiting in association with the headache?
yellowish_skin,Is your skin noticeably yellow or jaundiced in appearance?,Have you noticed yellowing in the whites of your eyes?,Does the yellowing of your skin seem to be spreading or getting worse?
dark_urine,"Is your urine consistently dark in color, resembling the shade of tea or cola?",Have you observed a significant change in the color of your urine recently?,Is your urine darker even when you are adequately hydrated?
nausea,Are you experiencing frequent bouts of feeling nauseous or the urge to vomit?,Does the sensation of nausea occur throughout the day or in response to certain triggers?,Have you actually vomited as a result of the nausea?
loss_of_appetite,"Have you noticed a significant reduction in your appetite, leading to eating less than usual?",Do you find that you have little interest in food or that it doesn't taste as appealing as it used to?,Have you unintentionally lost weight due to a decreased appetite?
pain_behind_the_eyes,Do you experience a dull or throbbing pain behind one or both of your eyes?,Is the eye pain accompanied by other symptoms like sensitivity to light or eye redness?,Have you had difficulty moving your eyes without discomfort?
back_pain,Are you currently experiencing persistent pain in your lower or upper back?,Has the back pain been affecting your daily activities or mobility?,"Is the pain radiating to other areas of your body, such as your legs or arms?"
constipation,"Have you had difficulty passing stools, experiencing infrequent bowel movements?","Do you find that your stools are hard, dry, and difficult to eliminate?",Have you had to strain excessively during bowel movements?
abdominal_pain,Are you currently experiencing abdominal pain or discomfort?,"Does the pain feel crampy or sharp, and is it localized to a specific area of your abdomen?",Has the pain been continuous or intermittent?
diarrhoea,Have you been passing loose or watery stools frequently?,Are you experiencing urgency to have a bowel movement and an increased frequency of bowel movements?,Have you noticed any blood or mucus in your stools?
mild_fever,"Do you have a low-grade fever, with a body temperature slightly elevated above normal?",Have you experienced chills or shivering in conjunction with the fever?,Has the fever persisted for more than a day?
yellow_urine,"Is your urine consistently a yellow color, but not dark like tea or cola?","Have you noticed a change in the color of your urine, and it appears more yellow than usual?",Does your urine return to a normal color when you are adequately hydrated?
red_spots_over_body,Have you noticed any red spots or rashes on your body recently?,Do these red spots over your body itch or cause any discomfort?,Have the red spots on your body been present for more than a week?
belly_pain,Have you experienced abdominal pain or discomfort in your belly region recently?,Is the belly pain constant or does it come and go intermittently?,"Have you noticed any specific factors or activities that trigger or worsen the belly pain, such as eating certain foods or movement?"
abnormal_menstruation,"Have you experienced changes in your menstrual cycle, such as irregular periods or significant variations in flow?",Are you experiencing heavier or lighter menstrual bleeding than usual?,Have you noticed any unusual pain or discomfort during your menstrual periods?
dischromic _patches,"Have you noticed any discolored or dischromic patches on your skin, which appear different from your normal skin tone?","Do these dischromic patches on your skin cause any itching, pain, or discomfort?","Have these dischromic patches on your skin been present for an extended period, or have they appeared recently?"
watering_from_eyes,Do you frequently experience excessive tearing or watering from your eyes?,"Does this watering from your eyes coincide with eye redness, itching, or irritation?",Has this symptom of watering from your eyes persisted for more than a week or occurred suddenly?
increased_appetite,Have you noticed a significant increase in your appetite recently?,Has this increased appetite resulted in notable weight changes or excessive eating?,How long have you experienced this increased appetite? Is it a recent change?
polyuria,"Are you urinating significantly more often than usual, especially during the day and night?","Do you have a strong urge to urinate frequently, and does it often feel like you can't delay urination?","Have you also noticed an increase in your thirst or fluid intake, possibly due to the frequent urination?"
family_history,"Do you have a family history of any specific medical conditions or diseases, such as diabetes, heart disease, or cancer?","Are any of your immediate family members (parents, siblings, or children) affected by or have a history of significant health problems?","In your extended family (aunts, uncles, grandparents, etc.), have there been instances of medical conditions that run in the family?"
mucoid_sputum,"Have you been coughing up sputum that has a thick, gel-like or mucoid consistency?",Is the sputum you're coughing up generally clear or white and appears more viscous than usual saliva?,How long have you been experiencing the presence of mucoid sputum when you cough or clear your throat?
rusty_sputum,"Have you been coughing up sputum that has a rusty or reddish-brown color, resembling the color of rust?",Do you experience this rusty-colored sputum when you have a cough or during episodes of coughing?,"How long have you observed the presence of rusty sputum, and has it been a recurring symptom?"
