question,answer,affirmative_or_non_affirmative
"Is the sky blue?","Yes, the sky is typically blue.",affirmative
"Do you like pizza?","No, I prefer other types of food.",non_affirmative
"Have you been to Paris?","Yes, I visited Paris last year.",affirmative
"Did you watch the latest movie?","No, I haven't had the chance to watch it yet.",non_affirmative
"Is the Earth flat?","No, the Earth is an oblate spheroid.",non_affirmative
"Is the sun made of cheese?","No, that's just a humorous idea.",non_affirmative
"Do you enjoy hiking?","Yes, hiking is one of my favorite activities.",affirmative
"Did you have breakfast today?","Yes, I had a quick breakfast this morning.",affirmative
"Are you a robot?","No, I'm a human being.",non_affirmative
"Is water wet?","Yes, water can make other things wet.",affirmative
"Have you ever climbed a mountain?","No, I've never climbed a mountain.",non_affirmative
"Did you attend the conference last week?","Yes, I was there.",affirmative
"Are you a fan of science fiction?","No, it's not my cup of tea.",non_affirmative
"Is pineapple a suitable pizza topping?","Yes, some people enjoy pineapple on pizza.",affirmative
"Did you win the lottery?","No, I didn't win.",non_affirmative
"Have you met a celebrity in person?","Yes, I met a celebrity once.",affirmative
"Is it snowing outside?","No, it's a clear day.",non_affirmative
"Did you take a vacation this year?","Yes, I went on vacation in July.",affirmative
"Is coffee your preferred morning beverage?","No, I prefer tea.",non_affirmative
"Have you ever traveled abroad?","Yes, I've been to several countries.",affirmative
"Is the moon made of cheese?","No, the moon is not made of cheese.",non_affirmative
"Do you enjoy playing musical instruments?","Yes, I play the guitar.",affirmative
"Did you finish reading that book?","No, I'm still in the middle of it.",non_affirmative
"Is chocolate your favorite dessert?","Yes, chocolate is my all-time favorite.",affirmative
"Have you ever gone skydiving?","No, I haven't tried skydiving.",non_affirmative
"Did you go to the gym today?","Yes, I had a good workout session.",affirmative
"Is your favorite color blue?","No, I prefer green.",non_affirmative
"Do you believe in ghosts?","Yes, I believe in the possibility of ghosts.",affirmative
"Did you watch the sports game last night?","No, I missed it.",non_affirmative
"Is laughter the best medicine?","Yes, laughter can be quite therapeutic.",affirmative
"Have you ever climbed a tree?","Yes, I used to climb trees as a child.",affirmative
"Did you enjoy the concert last weekend?","No, it was too loud for my taste.",non_affirmative
"Is pizza better with pineapple?","Yes, I think pineapple on pizza is delicious.",affirmative
"Have you ever won a contest?","Yes, I won a cooking contest once.",affirmative
"Did you visit the art museum this month?","No, I didn't have the chance.",non_affirmative
"Is your phone your most-used gadget?","Yes, I rely on my phone for everything.",affirmative
"Do you believe in extraterrestrial life?","Yes, I think it's possible.",affirmative
"Did you watch the sunrise today?","No, I missed it.",non_affirmative
"Is your favorite season winter?","No, I prefer spring.",non_affirmative
